Extracting ./train-images-idx3-ubyte.gz
Extracting ./train-labels-idx1-ubyte.gz
Extracting ./t10k-images-idx3-ubyte.gz
Extracting ./t10k-labels-idx1-ubyte.gz
Iter 1000, Minibatch Loss= 2.655396, Training Accuracy= 0.07000
Iter 2000, Minibatch Loss= 2.170866, Training Accuracy= 0.16000
Iter 3000, Minibatch Loss= 2.230791, Training Accuracy= 0.17000
Iter 4000, Minibatch Loss= 2.119922, Training Accuracy= 0.21000
Iter 5000, Minibatch Loss= 2.020825, Training Accuracy= 0.24000
Iter 6000, Minibatch Loss= 2.049259, Training Accuracy= 0.26000
Iter 7000, Minibatch Loss= 1.922514, Training Accuracy= 0.33000
Iter 8000, Minibatch Loss= 1.959528, Training Accuracy= 0.19000
Iter 9000, Minibatch Loss= 1.921373, Training Accuracy= 0.26000
Iter 10000, Minibatch Loss= 2.006890, Training Accuracy= 0.34000
Iter 11000, Minibatch Loss= 2.202812, Training Accuracy= 0.14000
Iter 12000, Minibatch Loss= 2.046929, Training Accuracy= 0.23000
Iter 13000, Minibatch Loss= 2.058070, Training Accuracy= 0.28000
Iter 14000, Minibatch Loss= 1.977533, Training Accuracy= 0.21000
Iter 15000, Minibatch Loss= 1.989761, Training Accuracy= 0.29000
Iter 16000, Minibatch Loss= 1.886131, Training Accuracy= 0.28000
Iter 17000, Minibatch Loss= 1.878617, Training Accuracy= 0.29000
Iter 18000, Minibatch Loss= 1.859582, Training Accuracy= 0.28000
Iter 19000, Minibatch Loss= 1.970562, Training Accuracy= 0.34000
Iter 20000, Minibatch Loss= 1.964250, Training Accuracy= 0.29000
Iter 21000, Minibatch Loss= 1.859338, Training Accuracy= 0.31000
Iter 22000, Minibatch Loss= 1.837098, Training Accuracy= 0.29000
Iter 23000, Minibatch Loss= 1.755119, Training Accuracy= 0.26000
Iter 24000, Minibatch Loss= 1.838824, Training Accuracy= 0.35000
Iter 25000, Minibatch Loss= 1.936826, Training Accuracy= 0.28000
Iter 26000, Minibatch Loss= 1.974978, Training Accuracy= 0.28000
Iter 27000, Minibatch Loss= 1.751355, Training Accuracy= 0.36000
Iter 28000, Minibatch Loss= 1.804698, Training Accuracy= 0.32000
Iter 29000, Minibatch Loss= 1.882908, Training Accuracy= 0.36000
Iter 30000, Minibatch Loss= 1.811577, Training Accuracy= 0.31000
Iter 31000, Minibatch Loss= 1.685733, Training Accuracy= 0.39000
Iter 32000, Minibatch Loss= 1.539856, Training Accuracy= 0.40000
Iter 33000, Minibatch Loss= 1.714615, Training Accuracy= 0.39000
Iter 34000, Minibatch Loss= 1.720851, Training Accuracy= 0.36000
Iter 35000, Minibatch Loss= 1.835314, Training Accuracy= 0.34000
Iter 36000, Minibatch Loss= 2.086020, Training Accuracy= 0.22000
Iter 37000, Minibatch Loss= 1.638440, Training Accuracy= 0.36000
Iter 38000, Minibatch Loss= 1.758925, Training Accuracy= 0.32000
Iter 39000, Minibatch Loss= 1.808277, Training Accuracy= 0.25000
Iter 40000, Minibatch Loss= 1.903396, Training Accuracy= 0.27000
Iter 41000, Minibatch Loss= 1.798279, Training Accuracy= 0.34000
Iter 42000, Minibatch Loss= 1.631737, Training Accuracy= 0.39000
Iter 43000, Minibatch Loss= 1.677561, Training Accuracy= 0.38000
Iter 44000, Minibatch Loss= 1.771544, Training Accuracy= 0.33000
Iter 45000, Minibatch Loss= 2.142683, Training Accuracy= 0.29000
Iter 46000, Minibatch Loss= 1.661498, Training Accuracy= 0.31000
Iter 47000, Minibatch Loss= 1.920273, Training Accuracy= 0.26000
Iter 48000, Minibatch Loss= 1.784689, Training Accuracy= 0.31000
Iter 49000, Minibatch Loss= 1.911869, Training Accuracy= 0.27000
Iter 50000, Minibatch Loss= 1.753289, Training Accuracy= 0.23000
Iter 51000, Minibatch Loss= 1.889701, Training Accuracy= 0.22000
Iter 52000, Minibatch Loss= 1.832696, Training Accuracy= 0.27000
Iter 53000, Minibatch Loss= 1.845464, Training Accuracy= 0.28000
Iter 54000, Minibatch Loss= 2.066500, Training Accuracy= 0.25000
Iter 55000, Minibatch Loss= 1.854726, Training Accuracy= 0.28000
Iter 56000, Minibatch Loss= 1.686311, Training Accuracy= 0.34000
Iter 57000, Minibatch Loss= 1.715935, Training Accuracy= 0.35000
Iter 58000, Minibatch Loss= 1.700879, Training Accuracy= 0.34000
Iter 59000, Minibatch Loss= 1.897957, Training Accuracy= 0.30000
Iter 60000, Minibatch Loss= 1.885647, Training Accuracy= 0.27000
Iter 61000, Minibatch Loss= 1.704857, Training Accuracy= 0.36000
Iter 62000, Minibatch Loss= 1.944933, Training Accuracy= 0.29000
Iter 63000, Minibatch Loss= 1.926185, Training Accuracy= 0.22000
Iter 64000, Minibatch Loss= 1.854126, Training Accuracy= 0.30000
Iter 65000, Minibatch Loss= 1.721096, Training Accuracy= 0.36000
Iter 66000, Minibatch Loss= 1.920858, Training Accuracy= 0.26000
Iter 67000, Minibatch Loss= 1.852585, Training Accuracy= 0.24000
Iter 68000, Minibatch Loss= 1.848143, Training Accuracy= 0.33000
Iter 69000, Minibatch Loss= 1.825023, Training Accuracy= 0.29000
Iter 70000, Minibatch Loss= 2.049729, Training Accuracy= 0.29000
Iter 71000, Minibatch Loss= 1.608353, Training Accuracy= 0.38000
Iter 72000, Minibatch Loss= 1.813214, Training Accuracy= 0.31000
Iter 73000, Minibatch Loss= 1.771259, Training Accuracy= 0.31000
Iter 74000, Minibatch Loss= 1.639472, Training Accuracy= 0.38000
Iter 75000, Minibatch Loss= 1.723845, Training Accuracy= 0.39000
Iter 76000, Minibatch Loss= 1.637224, Training Accuracy= 0.33000
Iter 77000, Minibatch Loss= 2.128038, Training Accuracy= 0.20000
Iter 78000, Minibatch Loss= 1.830417, Training Accuracy= 0.29000
Iter 79000, Minibatch Loss= 1.907556, Training Accuracy= 0.36000
Iter 80000, Minibatch Loss= 1.644524, Training Accuracy= 0.43000
Iter 81000, Minibatch Loss= 1.753571, Training Accuracy= 0.32000
Iter 82000, Minibatch Loss= 1.914053, Training Accuracy= 0.24000
Iter 83000, Minibatch Loss= 1.666006, Training Accuracy= 0.34000
Iter 84000, Minibatch Loss= 1.804024, Training Accuracy= 0.29000
Iter 85000, Minibatch Loss= 1.458403, Training Accuracy= 0.42000
Iter 86000, Minibatch Loss= 1.787296, Training Accuracy= 0.27000
Iter 87000, Minibatch Loss= 1.909619, Training Accuracy= 0.30000
Iter 88000, Minibatch Loss= 1.688492, Training Accuracy= 0.23000
Iter 89000, Minibatch Loss= 1.636490, Training Accuracy= 0.36000
Iter 90000, Minibatch Loss= 1.878745, Training Accuracy= 0.22000
Iter 91000, Minibatch Loss= 1.916797, Training Accuracy= 0.22000
Iter 92000, Minibatch Loss= 1.685912, Training Accuracy= 0.40000
Iter 93000, Minibatch Loss= 1.779156, Training Accuracy= 0.35000
Iter 94000, Minibatch Loss= 1.624014, Training Accuracy= 0.35000
Iter 95000, Minibatch Loss= 1.465728, Training Accuracy= 0.45000
Iter 96000, Minibatch Loss= 1.613947, Training Accuracy= 0.37000
Iter 97000, Minibatch Loss= 1.651402, Training Accuracy= 0.36000
Iter 98000, Minibatch Loss= 1.706121, Training Accuracy= 0.30000
Iter 99000, Minibatch Loss= 1.597040, Training Accuracy= 0.33000
Optimization Finished!
Testing Accuracy: 0.3734
============================================================================
============================================================================
============================================================================
Number of hidden layers:  16
Learning Rate:  1.0
Time from start:  12.953121485999999
