Extracting ./train-images-idx3-ubyte.gz
Extracting ./train-labels-idx1-ubyte.gz
Extracting ./t10k-images-idx3-ubyte.gz
Extracting ./t10k-labels-idx1-ubyte.gz
Iter 1000, Minibatch Loss= 2.904326, Training Accuracy= 0.12000
Iter 2000, Minibatch Loss= 2.693043, Training Accuracy= 0.14000
Iter 3000, Minibatch Loss= 2.762373, Training Accuracy= 0.14000
Iter 4000, Minibatch Loss= 2.785681, Training Accuracy= 0.11000
Iter 5000, Minibatch Loss= 2.596021, Training Accuracy= 0.13000
Iter 6000, Minibatch Loss= 2.604871, Training Accuracy= 0.17000
Iter 7000, Minibatch Loss= 2.580715, Training Accuracy= 0.16000
Iter 8000, Minibatch Loss= 2.429995, Training Accuracy= 0.14000
Iter 9000, Minibatch Loss= 2.430009, Training Accuracy= 0.17000
Iter 10000, Minibatch Loss= 2.507149, Training Accuracy= 0.12000
Iter 11000, Minibatch Loss= 2.525815, Training Accuracy= 0.13000
Iter 12000, Minibatch Loss= 2.407405, Training Accuracy= 0.15000
Iter 13000, Minibatch Loss= 2.508826, Training Accuracy= 0.14000
Iter 14000, Minibatch Loss= 2.323873, Training Accuracy= 0.17000
Iter 15000, Minibatch Loss= 2.365807, Training Accuracy= 0.16000
Iter 16000, Minibatch Loss= 2.304248, Training Accuracy= 0.15000
Iter 17000, Minibatch Loss= 2.227211, Training Accuracy= 0.14000
Iter 18000, Minibatch Loss= 2.178882, Training Accuracy= 0.17000
Iter 19000, Minibatch Loss= 2.273057, Training Accuracy= 0.13000
Iter 20000, Minibatch Loss= 2.326303, Training Accuracy= 0.13000
Iter 21000, Minibatch Loss= 2.167923, Training Accuracy= 0.18000
Iter 22000, Minibatch Loss= 2.204802, Training Accuracy= 0.20000
Iter 23000, Minibatch Loss= 2.121780, Training Accuracy= 0.30000
Iter 24000, Minibatch Loss= 2.164708, Training Accuracy= 0.23000
Iter 25000, Minibatch Loss= 2.081875, Training Accuracy= 0.25000
Iter 26000, Minibatch Loss= 2.170331, Training Accuracy= 0.19000
