Extracting ./train-images-idx3-ubyte.gz
Extracting ./train-labels-idx1-ubyte.gz
Extracting ./t10k-images-idx3-ubyte.gz
Extracting ./t10k-labels-idx1-ubyte.gz
Iter 1000, Minibatch Loss= 2.441224, Training Accuracy= 0.10000
Iter 2000, Minibatch Loss= 2.301577, Training Accuracy= 0.17000
Iter 3000, Minibatch Loss= 2.152389, Training Accuracy= 0.23000
Iter 4000, Minibatch Loss= 1.964390, Training Accuracy= 0.33000
Iter 5000, Minibatch Loss= 1.952506, Training Accuracy= 0.33000
Iter 6000, Minibatch Loss= 1.875396, Training Accuracy= 0.41000
Iter 7000, Minibatch Loss= 1.646732, Training Accuracy= 0.48000
Iter 8000, Minibatch Loss= 1.641285, Training Accuracy= 0.50000
Iter 9000, Minibatch Loss= 1.387966, Training Accuracy= 0.52000
Iter 10000, Minibatch Loss= 1.319305, Training Accuracy= 0.61000
Iter 11000, Minibatch Loss= 1.217197, Training Accuracy= 0.54000
Iter 12000, Minibatch Loss= 1.148081, Training Accuracy= 0.64000
Iter 13000, Minibatch Loss= 1.094062, Training Accuracy= 0.65000
Iter 14000, Minibatch Loss= 1.031437, Training Accuracy= 0.69000
Iter 15000, Minibatch Loss= 0.948682, Training Accuracy= 0.71000
Iter 16000, Minibatch Loss= 0.828133, Training Accuracy= 0.78000
Iter 17000, Minibatch Loss= 0.894846, Training Accuracy= 0.73000
Iter 18000, Minibatch Loss= 0.792066, Training Accuracy= 0.75000
Iter 19000, Minibatch Loss= 0.866850, Training Accuracy= 0.67000
Iter 20000, Minibatch Loss= 0.674092, Training Accuracy= 0.75000
Iter 21000, Minibatch Loss= 0.703938, Training Accuracy= 0.72000
Iter 22000, Minibatch Loss= 0.703950, Training Accuracy= 0.81000
Iter 23000, Minibatch Loss= 0.709100, Training Accuracy= 0.77000
Iter 24000, Minibatch Loss= 0.702094, Training Accuracy= 0.71000
Iter 25000, Minibatch Loss= 0.544005, Training Accuracy= 0.85000
Iter 26000, Minibatch Loss= 0.519419, Training Accuracy= 0.88000
Iter 27000, Minibatch Loss= 0.715900, Training Accuracy= 0.76000
Iter 28000, Minibatch Loss= 0.429296, Training Accuracy= 0.86000
Iter 29000, Minibatch Loss= 0.567266, Training Accuracy= 0.82000
Iter 30000, Minibatch Loss= 0.388127, Training Accuracy= 0.86000
Iter 31000, Minibatch Loss= 0.402562, Training Accuracy= 0.86000
Iter 32000, Minibatch Loss= 0.546205, Training Accuracy= 0.79000
Iter 33000, Minibatch Loss= 0.374235, Training Accuracy= 0.89000
Iter 34000, Minibatch Loss= 0.697471, Training Accuracy= 0.73000
Iter 35000, Minibatch Loss= 0.537892, Training Accuracy= 0.82000
Iter 36000, Minibatch Loss= 0.412278, Training Accuracy= 0.90000
Iter 37000, Minibatch Loss= 0.587009, Training Accuracy= 0.79000
Iter 38000, Minibatch Loss= 0.408567, Training Accuracy= 0.85000
Iter 39000, Minibatch Loss= 0.384555, Training Accuracy= 0.88000
Iter 40000, Minibatch Loss= 0.355784, Training Accuracy= 0.89000
Iter 41000, Minibatch Loss= 0.412207, Training Accuracy= 0.87000
Iter 42000, Minibatch Loss= 0.573483, Training Accuracy= 0.82000
Iter 43000, Minibatch Loss= 0.294650, Training Accuracy= 0.92000
Iter 44000, Minibatch Loss= 0.347478, Training Accuracy= 0.90000
Iter 45000, Minibatch Loss= 0.399965, Training Accuracy= 0.86000
Iter 46000, Minibatch Loss= 0.249501, Training Accuracy= 0.91000
Iter 47000, Minibatch Loss= 0.457673, Training Accuracy= 0.85000
Iter 48000, Minibatch Loss= 0.250186, Training Accuracy= 0.95000
Iter 49000, Minibatch Loss= 0.428367, Training Accuracy= 0.84000
Iter 50000, Minibatch Loss= 0.282269, Training Accuracy= 0.91000
Iter 51000, Minibatch Loss= 0.413905, Training Accuracy= 0.86000
Iter 52000, Minibatch Loss= 0.235367, Training Accuracy= 0.91000
Iter 53000, Minibatch Loss= 0.379979, Training Accuracy= 0.88000
Iter 54000, Minibatch Loss= 0.297585, Training Accuracy= 0.92000
Iter 55000, Minibatch Loss= 0.482682, Training Accuracy= 0.84000
Iter 56000, Minibatch Loss= 0.249265, Training Accuracy= 0.89000
Iter 57000, Minibatch Loss= 0.332400, Training Accuracy= 0.87000
Iter 58000, Minibatch Loss= 0.338424, Training Accuracy= 0.90000
Iter 59000, Minibatch Loss= 0.305082, Training Accuracy= 0.92000
Iter 60000, Minibatch Loss= 0.253915, Training Accuracy= 0.92000
Iter 61000, Minibatch Loss= 0.227226, Training Accuracy= 0.91000
Iter 62000, Minibatch Loss= 0.235309, Training Accuracy= 0.91000
Iter 63000, Minibatch Loss= 0.315538, Training Accuracy= 0.92000
Iter 64000, Minibatch Loss= 0.249328, Training Accuracy= 0.92000
Iter 65000, Minibatch Loss= 0.253545, Training Accuracy= 0.91000
Iter 66000, Minibatch Loss= 0.395789, Training Accuracy= 0.91000
Iter 67000, Minibatch Loss= 0.211528, Training Accuracy= 0.93000
Iter 68000, Minibatch Loss= 0.386787, Training Accuracy= 0.87000
Iter 69000, Minibatch Loss= 0.172775, Training Accuracy= 0.96000
Iter 70000, Minibatch Loss= 0.307241, Training Accuracy= 0.91000
Iter 71000, Minibatch Loss= 0.284725, Training Accuracy= 0.92000
Iter 72000, Minibatch Loss= 0.299751, Training Accuracy= 0.94000
Iter 73000, Minibatch Loss= 0.244302, Training Accuracy= 0.91000
Iter 74000, Minibatch Loss= 0.312155, Training Accuracy= 0.91000
Iter 75000, Minibatch Loss= 0.283319, Training Accuracy= 0.92000
Iter 76000, Minibatch Loss= 0.230027, Training Accuracy= 0.91000
Iter 77000, Minibatch Loss= 0.272915, Training Accuracy= 0.91000
Iter 78000, Minibatch Loss= 0.169163, Training Accuracy= 0.96000
Iter 79000, Minibatch Loss= 0.191111, Training Accuracy= 0.95000
Iter 80000, Minibatch Loss= 0.150521, Training Accuracy= 0.94000
Iter 81000, Minibatch Loss= 0.204584, Training Accuracy= 0.93000
Iter 82000, Minibatch Loss= 0.199193, Training Accuracy= 0.94000
Iter 83000, Minibatch Loss= 0.171848, Training Accuracy= 0.95000
Iter 84000, Minibatch Loss= 0.170419, Training Accuracy= 0.95000
Iter 85000, Minibatch Loss= 0.253490, Training Accuracy= 0.94000
Iter 86000, Minibatch Loss= 0.159519, Training Accuracy= 0.96000
Iter 87000, Minibatch Loss= 0.238908, Training Accuracy= 0.93000
Iter 88000, Minibatch Loss= 0.195024, Training Accuracy= 0.93000
Iter 89000, Minibatch Loss= 0.225145, Training Accuracy= 0.92000
Iter 90000, Minibatch Loss= 0.150417, Training Accuracy= 0.96000
Iter 91000, Minibatch Loss= 0.262744, Training Accuracy= 0.94000
Iter 92000, Minibatch Loss= 0.194687, Training Accuracy= 0.95000
Iter 93000, Minibatch Loss= 0.245481, Training Accuracy= 0.91000
Iter 94000, Minibatch Loss= 0.100194, Training Accuracy= 0.98000
Iter 95000, Minibatch Loss= 0.176147, Training Accuracy= 0.92000
Iter 96000, Minibatch Loss= 0.227834, Training Accuracy= 0.90000
Iter 97000, Minibatch Loss= 0.175405, Training Accuracy= 0.93000
Iter 98000, Minibatch Loss= 0.234005, Training Accuracy= 0.93000
Iter 99000, Minibatch Loss= 0.319710, Training Accuracy= 0.88000
Optimization Finished!
Testing Accuracy: 0.9438
============================================================================
============================================================================
============================================================================
Number of hidden layers:  32
Learning Rate:  0.001
Time from start:  12.647195472
