Extracting ./train-images-idx3-ubyte.gz
Extracting ./train-labels-idx1-ubyte.gz
Extracting ./t10k-images-idx3-ubyte.gz
Extracting ./t10k-labels-idx1-ubyte.gz
Iter 1000, Minibatch Loss= 2.935789, Training Accuracy= 0.13000
Iter 2000, Minibatch Loss= 2.663430, Training Accuracy= 0.09000
Iter 3000, Minibatch Loss= 2.712065, Training Accuracy= 0.15000
Iter 4000, Minibatch Loss= 2.529468, Training Accuracy= 0.16000
Iter 5000, Minibatch Loss= 2.547246, Training Accuracy= 0.12000
Iter 6000, Minibatch Loss= 2.409016, Training Accuracy= 0.15000
Iter 7000, Minibatch Loss= 2.265316, Training Accuracy= 0.18000
Iter 8000, Minibatch Loss= 2.146868, Training Accuracy= 0.19000
Iter 9000, Minibatch Loss= 2.253450, Training Accuracy= 0.32000
Iter 10000, Minibatch Loss= 2.369771, Training Accuracy= 0.25000
Iter 11000, Minibatch Loss= 2.033581, Training Accuracy= 0.46000
Iter 12000, Minibatch Loss= 1.982450, Training Accuracy= 0.43000
Iter 13000, Minibatch Loss= 1.997815, Training Accuracy= 0.35000
Iter 14000, Minibatch Loss= 1.921378, Training Accuracy= 0.38000
Iter 15000, Minibatch Loss= 1.897688, Training Accuracy= 0.32000
Iter 16000, Minibatch Loss= 1.617730, Training Accuracy= 0.46000
Iter 17000, Minibatch Loss= 1.641356, Training Accuracy= 0.51000
Iter 18000, Minibatch Loss= 1.611283, Training Accuracy= 0.48000
Iter 19000, Minibatch Loss= 1.548194, Training Accuracy= 0.53000
Iter 20000, Minibatch Loss= 1.437943, Training Accuracy= 0.51000
Iter 21000, Minibatch Loss= 1.559679, Training Accuracy= 0.51000
Iter 22000, Minibatch Loss= 1.365816, Training Accuracy= 0.62000
Iter 23000, Minibatch Loss= 1.470669, Training Accuracy= 0.51000
Iter 24000, Minibatch Loss= 1.242666, Training Accuracy= 0.62000
Iter 25000, Minibatch Loss= 1.249467, Training Accuracy= 0.65000
Iter 26000, Minibatch Loss= 1.238744, Training Accuracy= 0.67000
Iter 27000, Minibatch Loss= 1.220414, Training Accuracy= 0.55000
Iter 28000, Minibatch Loss= 1.229982, Training Accuracy= 0.58000
Iter 29000, Minibatch Loss= 1.127427, Training Accuracy= 0.67000
Iter 30000, Minibatch Loss= 1.100067, Training Accuracy= 0.65000
Iter 31000, Minibatch Loss= 1.195192, Training Accuracy= 0.61000
