Extracting ./train-images-idx3-ubyte.gz
Extracting ./train-labels-idx1-ubyte.gz
Extracting ./t10k-images-idx3-ubyte.gz
Extracting ./t10k-labels-idx1-ubyte.gz
Iter 1000, Minibatch Loss= 2.171227, Training Accuracy= 0.23000
Iter 2000, Minibatch Loss= 1.910504, Training Accuracy= 0.30000
Iter 3000, Minibatch Loss= 1.687594, Training Accuracy= 0.45000
Iter 4000, Minibatch Loss= 1.612754, Training Accuracy= 0.45000
Iter 5000, Minibatch Loss= 1.236425, Training Accuracy= 0.63000
Iter 6000, Minibatch Loss= 1.214061, Training Accuracy= 0.57000
Iter 7000, Minibatch Loss= 1.014454, Training Accuracy= 0.68000
Iter 8000, Minibatch Loss= 0.897249, Training Accuracy= 0.69000
Iter 9000, Minibatch Loss= 0.752133, Training Accuracy= 0.71000
Iter 10000, Minibatch Loss= 0.730424, Training Accuracy= 0.71000
Iter 11000, Minibatch Loss= 0.505922, Training Accuracy= 0.82000
Iter 12000, Minibatch Loss= 0.649758, Training Accuracy= 0.76000
Iter 13000, Minibatch Loss= 0.504108, Training Accuracy= 0.81000
Iter 14000, Minibatch Loss= 0.532664, Training Accuracy= 0.82000
Iter 15000, Minibatch Loss= 0.618441, Training Accuracy= 0.79000
Iter 16000, Minibatch Loss= 0.667364, Training Accuracy= 0.78000
Iter 17000, Minibatch Loss= 0.364282, Training Accuracy= 0.88000
Iter 18000, Minibatch Loss= 0.465498, Training Accuracy= 0.85000
Iter 19000, Minibatch Loss= 0.388510, Training Accuracy= 0.91000
Iter 20000, Minibatch Loss= 0.253861, Training Accuracy= 0.91000
Iter 21000, Minibatch Loss= 0.451215, Training Accuracy= 0.88000
Iter 22000, Minibatch Loss= 0.298799, Training Accuracy= 0.90000
Iter 23000, Minibatch Loss= 0.312648, Training Accuracy= 0.89000
Iter 24000, Minibatch Loss= 0.517142, Training Accuracy= 0.83000
Iter 25000, Minibatch Loss= 0.341410, Training Accuracy= 0.90000
Iter 26000, Minibatch Loss= 0.284601, Training Accuracy= 0.90000
Iter 27000, Minibatch Loss= 0.309507, Training Accuracy= 0.87000
Iter 28000, Minibatch Loss= 0.216915, Training Accuracy= 0.92000
Iter 29000, Minibatch Loss= 0.345644, Training Accuracy= 0.95000
Iter 30000, Minibatch Loss= 0.264145, Training Accuracy= 0.93000
Iter 31000, Minibatch Loss= 0.119296, Training Accuracy= 0.97000
Iter 32000, Minibatch Loss= 0.465808, Training Accuracy= 0.82000
Iter 33000, Minibatch Loss= 0.223765, Training Accuracy= 0.96000
Iter 34000, Minibatch Loss= 0.297057, Training Accuracy= 0.89000
Iter 35000, Minibatch Loss= 0.233125, Training Accuracy= 0.93000
Iter 36000, Minibatch Loss= 0.387881, Training Accuracy= 0.89000
Iter 37000, Minibatch Loss= 0.197278, Training Accuracy= 0.97000
Iter 38000, Minibatch Loss= 0.448881, Training Accuracy= 0.85000
Iter 39000, Minibatch Loss= 0.165739, Training Accuracy= 0.96000
Iter 40000, Minibatch Loss= 0.264750, Training Accuracy= 0.91000
Iter 41000, Minibatch Loss= 0.215766, Training Accuracy= 0.93000
Iter 42000, Minibatch Loss= 0.351981, Training Accuracy= 0.90000
Iter 43000, Minibatch Loss= 0.235579, Training Accuracy= 0.92000
Iter 44000, Minibatch Loss= 0.292036, Training Accuracy= 0.91000
Iter 45000, Minibatch Loss= 0.213365, Training Accuracy= 0.93000
Iter 46000, Minibatch Loss= 0.293673, Training Accuracy= 0.92000
