Extracting ./train-images-idx3-ubyte.gz
Extracting ./train-labels-idx1-ubyte.gz
Extracting ./t10k-images-idx3-ubyte.gz
Extracting ./t10k-labels-idx1-ubyte.gz
Iter 1000, Minibatch Loss= 1.969271, Training Accuracy= 0.27000
Iter 2000, Minibatch Loss= 1.941763, Training Accuracy= 0.26000
Iter 3000, Minibatch Loss= 1.515183, Training Accuracy= 0.49000
Iter 4000, Minibatch Loss= 1.122815, Training Accuracy= 0.60000
Iter 5000, Minibatch Loss= 1.281285, Training Accuracy= 0.61000
Iter 6000, Minibatch Loss= 0.840696, Training Accuracy= 0.74000
Iter 7000, Minibatch Loss= 0.736292, Training Accuracy= 0.77000
Iter 8000, Minibatch Loss= 0.813970, Training Accuracy= 0.70000
Iter 9000, Minibatch Loss= 0.718138, Training Accuracy= 0.74000
Iter 10000, Minibatch Loss= 0.731921, Training Accuracy= 0.74000
Iter 11000, Minibatch Loss= 0.804069, Training Accuracy= 0.73000
Iter 12000, Minibatch Loss= 0.695088, Training Accuracy= 0.79000
Iter 13000, Minibatch Loss= 0.658861, Training Accuracy= 0.79000
Iter 14000, Minibatch Loss= 0.807187, Training Accuracy= 0.72000
Iter 15000, Minibatch Loss= 0.674393, Training Accuracy= 0.72000
Iter 16000, Minibatch Loss= 0.764263, Training Accuracy= 0.79000
Iter 17000, Minibatch Loss= 0.388494, Training Accuracy= 0.85000
Iter 18000, Minibatch Loss= 0.765870, Training Accuracy= 0.75000
Iter 19000, Minibatch Loss= 0.460151, Training Accuracy= 0.86000
Iter 20000, Minibatch Loss= 0.651373, Training Accuracy= 0.75000
Iter 21000, Minibatch Loss= 0.476942, Training Accuracy= 0.85000
Iter 22000, Minibatch Loss= 0.561646, Training Accuracy= 0.79000
Iter 23000, Minibatch Loss= 0.564427, Training Accuracy= 0.83000
Iter 24000, Minibatch Loss= 0.762504, Training Accuracy= 0.82000
Iter 25000, Minibatch Loss= 0.518030, Training Accuracy= 0.87000
Iter 26000, Minibatch Loss= 0.569570, Training Accuracy= 0.78000
Iter 27000, Minibatch Loss= 0.745093, Training Accuracy= 0.79000
Iter 28000, Minibatch Loss= 0.616003, Training Accuracy= 0.83000
Iter 29000, Minibatch Loss= 0.613914, Training Accuracy= 0.78000
Iter 30000, Minibatch Loss= 0.342357, Training Accuracy= 0.90000
Iter 31000, Minibatch Loss= 0.492812, Training Accuracy= 0.85000
Iter 32000, Minibatch Loss= 0.377165, Training Accuracy= 0.88000
Iter 33000, Minibatch Loss= 0.534267, Training Accuracy= 0.84000
Iter 34000, Minibatch Loss= 0.580706, Training Accuracy= 0.83000
Iter 35000, Minibatch Loss= 0.382133, Training Accuracy= 0.91000
Iter 36000, Minibatch Loss= 0.418681, Training Accuracy= 0.87000
Iter 37000, Minibatch Loss= 0.467190, Training Accuracy= 0.90000
Iter 38000, Minibatch Loss= 0.446969, Training Accuracy= 0.89000
Iter 39000, Minibatch Loss= 0.384910, Training Accuracy= 0.89000
Iter 40000, Minibatch Loss= 0.405158, Training Accuracy= 0.85000
Iter 41000, Minibatch Loss= 0.391588, Training Accuracy= 0.86000
Iter 42000, Minibatch Loss= 0.435219, Training Accuracy= 0.86000
Iter 43000, Minibatch Loss= 0.434333, Training Accuracy= 0.85000
Iter 44000, Minibatch Loss= 0.452775, Training Accuracy= 0.85000
Iter 45000, Minibatch Loss= 0.321518, Training Accuracy= 0.91000
Iter 46000, Minibatch Loss= 0.518610, Training Accuracy= 0.84000
Iter 47000, Minibatch Loss= 0.524548, Training Accuracy= 0.83000
Iter 48000, Minibatch Loss= 0.559141, Training Accuracy= 0.82000
Iter 49000, Minibatch Loss= 0.479093, Training Accuracy= 0.85000
Iter 50000, Minibatch Loss= 0.483588, Training Accuracy= 0.84000
Iter 51000, Minibatch Loss= 0.525407, Training Accuracy= 0.87000
Iter 52000, Minibatch Loss= 0.462403, Training Accuracy= 0.85000
Iter 53000, Minibatch Loss= 0.619511, Training Accuracy= 0.81000
Iter 54000, Minibatch Loss= 0.563222, Training Accuracy= 0.80000
Iter 55000, Minibatch Loss= 0.455127, Training Accuracy= 0.87000
Iter 56000, Minibatch Loss= 0.394501, Training Accuracy= 0.88000
Iter 57000, Minibatch Loss= 0.433727, Training Accuracy= 0.83000
Iter 58000, Minibatch Loss= 0.354543, Training Accuracy= 0.88000
Iter 59000, Minibatch Loss= 0.447822, Training Accuracy= 0.85000
Iter 60000, Minibatch Loss= 0.387952, Training Accuracy= 0.87000
Iter 61000, Minibatch Loss= 0.577609, Training Accuracy= 0.85000
Iter 62000, Minibatch Loss= 0.418894, Training Accuracy= 0.87000
Iter 63000, Minibatch Loss= 0.356050, Training Accuracy= 0.90000
Iter 64000, Minibatch Loss= 0.510669, Training Accuracy= 0.85000
Iter 65000, Minibatch Loss= 0.459832, Training Accuracy= 0.86000
Iter 66000, Minibatch Loss= 0.682016, Training Accuracy= 0.82000
Iter 67000, Minibatch Loss= 0.360920, Training Accuracy= 0.86000
Iter 68000, Minibatch Loss= 0.367427, Training Accuracy= 0.85000
Iter 69000, Minibatch Loss= 0.293535, Training Accuracy= 0.89000
Iter 70000, Minibatch Loss= 0.267044, Training Accuracy= 0.89000
Iter 71000, Minibatch Loss= 0.234702, Training Accuracy= 0.95000
Iter 72000, Minibatch Loss= 0.377196, Training Accuracy= 0.90000
Iter 73000, Minibatch Loss= 0.453798, Training Accuracy= 0.84000
Iter 74000, Minibatch Loss= 0.484589, Training Accuracy= 0.85000
Iter 75000, Minibatch Loss= 0.519304, Training Accuracy= 0.84000
Iter 76000, Minibatch Loss= 0.385438, Training Accuracy= 0.88000
Iter 77000, Minibatch Loss= 0.401700, Training Accuracy= 0.88000
Iter 78000, Minibatch Loss= 0.330021, Training Accuracy= 0.91000
Iter 79000, Minibatch Loss= 0.481783, Training Accuracy= 0.86000
Iter 80000, Minibatch Loss= 0.386487, Training Accuracy= 0.89000
Iter 81000, Minibatch Loss= 0.386546, Training Accuracy= 0.87000
Iter 82000, Minibatch Loss= 0.562796, Training Accuracy= 0.87000
Iter 83000, Minibatch Loss= 0.187076, Training Accuracy= 0.96000
Iter 84000, Minibatch Loss= 0.266174, Training Accuracy= 0.91000
Iter 85000, Minibatch Loss= 0.415869, Training Accuracy= 0.85000
Iter 86000, Minibatch Loss= 0.334158, Training Accuracy= 0.88000
Iter 87000, Minibatch Loss= 0.511103, Training Accuracy= 0.85000
Iter 88000, Minibatch Loss= 0.279366, Training Accuracy= 0.93000
Iter 89000, Minibatch Loss= 0.263438, Training Accuracy= 0.93000
Iter 90000, Minibatch Loss= 0.563458, Training Accuracy= 0.78000
Iter 91000, Minibatch Loss= 0.504218, Training Accuracy= 0.84000
Iter 92000, Minibatch Loss= 0.527299, Training Accuracy= 0.85000
Iter 93000, Minibatch Loss= 0.413321, Training Accuracy= 0.86000
Iter 94000, Minibatch Loss= 0.379689, Training Accuracy= 0.87000
Iter 95000, Minibatch Loss= 0.564605, Training Accuracy= 0.84000
Iter 96000, Minibatch Loss= 0.703064, Training Accuracy= 0.80000
Iter 97000, Minibatch Loss= 0.616762, Training Accuracy= 0.84000
Iter 98000, Minibatch Loss= 0.544103, Training Accuracy= 0.84000
Iter 99000, Minibatch Loss= 0.371956, Training Accuracy= 0.89000
Optimization Finished!
Testing Accuracy: 0.8425
============================================================================
============================================================================
============================================================================
Number of hidden layers:  16
Learning Rate:  0.1
Time from start:  13.266473478999998
