Extracting ./train-images-idx3-ubyte.gz
Extracting ./train-labels-idx1-ubyte.gz
Extracting ./t10k-images-idx3-ubyte.gz
Extracting ./t10k-labels-idx1-ubyte.gz
Iter 1000, Minibatch Loss= 2.560141, Training Accuracy= 0.12000
Iter 2000, Minibatch Loss= 2.293232, Training Accuracy= 0.13000
Iter 3000, Minibatch Loss= 2.104840, Training Accuracy= 0.25000
Iter 4000, Minibatch Loss= 2.007767, Training Accuracy= 0.31000
Iter 5000, Minibatch Loss= 1.733874, Training Accuracy= 0.47000
Iter 6000, Minibatch Loss= 2.011632, Training Accuracy= 0.21000
Iter 7000, Minibatch Loss= 1.834999, Training Accuracy= 0.30000
Iter 8000, Minibatch Loss= 1.860294, Training Accuracy= 0.29000
Iter 9000, Minibatch Loss= 1.671145, Training Accuracy= 0.35000
Iter 10000, Minibatch Loss= 1.560132, Training Accuracy= 0.43000
Iter 11000, Minibatch Loss= 1.747082, Training Accuracy= 0.29000
Iter 12000, Minibatch Loss= 1.739019, Training Accuracy= 0.34000
Iter 13000, Minibatch Loss= 1.791750, Training Accuracy= 0.32000
Iter 14000, Minibatch Loss= 1.617462, Training Accuracy= 0.41000
Iter 15000, Minibatch Loss= 1.692766, Training Accuracy= 0.38000
Iter 16000, Minibatch Loss= 1.570376, Training Accuracy= 0.38000
Iter 17000, Minibatch Loss= 1.221874, Training Accuracy= 0.55000
Iter 18000, Minibatch Loss= 1.285171, Training Accuracy= 0.53000
Iter 19000, Minibatch Loss= 1.457537, Training Accuracy= 0.42000
Iter 20000, Minibatch Loss= 1.377349, Training Accuracy= 0.47000
Iter 21000, Minibatch Loss= 1.404813, Training Accuracy= 0.47000
Iter 22000, Minibatch Loss= 1.235714, Training Accuracy= 0.50000
Iter 23000, Minibatch Loss= 1.228649, Training Accuracy= 0.59000
Iter 24000, Minibatch Loss= 1.284512, Training Accuracy= 0.51000
Iter 25000, Minibatch Loss= 1.217844, Training Accuracy= 0.54000
Iter 26000, Minibatch Loss= 1.209466, Training Accuracy= 0.59000
Iter 27000, Minibatch Loss= 1.098290, Training Accuracy= 0.60000
Iter 28000, Minibatch Loss= 1.278635, Training Accuracy= 0.50000
Iter 29000, Minibatch Loss= 1.160704, Training Accuracy= 0.53000
Iter 30000, Minibatch Loss= 1.032465, Training Accuracy= 0.66000
Iter 31000, Minibatch Loss= 1.045644, Training Accuracy= 0.59000
Iter 32000, Minibatch Loss= 0.862953, Training Accuracy= 0.71000
Iter 33000, Minibatch Loss= 0.976839, Training Accuracy= 0.63000
Iter 34000, Minibatch Loss= 0.898382, Training Accuracy= 0.68000
Iter 35000, Minibatch Loss= 0.834451, Training Accuracy= 0.74000
Iter 36000, Minibatch Loss= 0.807766, Training Accuracy= 0.74000
Iter 37000, Minibatch Loss= 0.847660, Training Accuracy= 0.66000
Iter 38000, Minibatch Loss= 0.802827, Training Accuracy= 0.75000
Iter 39000, Minibatch Loss= 0.720129, Training Accuracy= 0.78000
Iter 40000, Minibatch Loss= 0.896863, Training Accuracy= 0.69000
Iter 41000, Minibatch Loss= 0.767900, Training Accuracy= 0.79000
Iter 42000, Minibatch Loss= 0.865886, Training Accuracy= 0.76000
Iter 43000, Minibatch Loss= 0.728711, Training Accuracy= 0.75000
Iter 44000, Minibatch Loss= 0.740268, Training Accuracy= 0.73000
Iter 45000, Minibatch Loss= 0.731464, Training Accuracy= 0.75000
Iter 46000, Minibatch Loss= 0.780912, Training Accuracy= 0.68000
Iter 47000, Minibatch Loss= 0.730848, Training Accuracy= 0.75000
Iter 48000, Minibatch Loss= 0.688267, Training Accuracy= 0.74000
Iter 49000, Minibatch Loss= 0.703082, Training Accuracy= 0.73000
Iter 50000, Minibatch Loss= 0.796641, Training Accuracy= 0.70000
Iter 51000, Minibatch Loss= 0.690874, Training Accuracy= 0.72000
Iter 52000, Minibatch Loss= 0.680561, Training Accuracy= 0.76000
Iter 53000, Minibatch Loss= 0.766914, Training Accuracy= 0.74000
Iter 54000, Minibatch Loss= 0.673747, Training Accuracy= 0.82000
