Extracting ./train-images-idx3-ubyte.gz
Extracting ./train-labels-idx1-ubyte.gz
Extracting ./t10k-images-idx3-ubyte.gz
Extracting ./t10k-labels-idx1-ubyte.gz
Iter 1000, Minibatch Loss= 2.997328, Training Accuracy= 0.11000
Iter 2000, Minibatch Loss= 3.014510, Training Accuracy= 0.09000
Iter 3000, Minibatch Loss= 2.921060, Training Accuracy= 0.12000
Iter 4000, Minibatch Loss= 2.910036, Training Accuracy= 0.12000
Iter 5000, Minibatch Loss= 2.891403, Training Accuracy= 0.03000
Iter 6000, Minibatch Loss= 2.852097, Training Accuracy= 0.07000
Iter 7000, Minibatch Loss= 2.653013, Training Accuracy= 0.21000
Iter 8000, Minibatch Loss= 2.690933, Training Accuracy= 0.15000
Iter 9000, Minibatch Loss= 2.771911, Training Accuracy= 0.08000
Iter 10000, Minibatch Loss= 2.759262, Training Accuracy= 0.12000
Iter 11000, Minibatch Loss= 2.835427, Training Accuracy= 0.07000
Iter 12000, Minibatch Loss= 2.629662, Training Accuracy= 0.13000
Iter 13000, Minibatch Loss= 2.654591, Training Accuracy= 0.10000
Iter 14000, Minibatch Loss= 2.524815, Training Accuracy= 0.14000
Iter 15000, Minibatch Loss= 2.556916, Training Accuracy= 0.09000
Iter 16000, Minibatch Loss= 2.562751, Training Accuracy= 0.13000
Iter 17000, Minibatch Loss= 2.522397, Training Accuracy= 0.14000
Iter 18000, Minibatch Loss= 2.681628, Training Accuracy= 0.09000
Iter 19000, Minibatch Loss= 2.616600, Training Accuracy= 0.09000
Iter 20000, Minibatch Loss= 2.418672, Training Accuracy= 0.13000
Iter 21000, Minibatch Loss= 2.489395, Training Accuracy= 0.11000
Iter 22000, Minibatch Loss= 2.675708, Training Accuracy= 0.10000
Iter 23000, Minibatch Loss= 2.590386, Training Accuracy= 0.05000
Iter 24000, Minibatch Loss= 2.593659, Training Accuracy= 0.12000
Iter 25000, Minibatch Loss= 2.416028, Training Accuracy= 0.15000
Iter 26000, Minibatch Loss= 2.462227, Training Accuracy= 0.12000
Iter 27000, Minibatch Loss= 2.298470, Training Accuracy= 0.19000
Iter 28000, Minibatch Loss= 2.272430, Training Accuracy= 0.21000
Iter 29000, Minibatch Loss= 2.469943, Training Accuracy= 0.11000
Iter 30000, Minibatch Loss= 2.282846, Training Accuracy= 0.14000
Iter 31000, Minibatch Loss= 2.382781, Training Accuracy= 0.15000
Iter 32000, Minibatch Loss= 2.312322, Training Accuracy= 0.20000
Iter 33000, Minibatch Loss= 2.324507, Training Accuracy= 0.16000
Iter 34000, Minibatch Loss= 2.370703, Training Accuracy= 0.16000
Iter 35000, Minibatch Loss= 2.352206, Training Accuracy= 0.17000
Iter 36000, Minibatch Loss= 2.537927, Training Accuracy= 0.13000
Iter 37000, Minibatch Loss= 2.205358, Training Accuracy= 0.20000
Iter 38000, Minibatch Loss= 2.308001, Training Accuracy= 0.18000
Iter 39000, Minibatch Loss= 2.126147, Training Accuracy= 0.30000
Iter 40000, Minibatch Loss= 2.372235, Training Accuracy= 0.13000
Iter 41000, Minibatch Loss= 2.307568, Training Accuracy= 0.20000
Iter 42000, Minibatch Loss= 2.345495, Training Accuracy= 0.14000
Iter 43000, Minibatch Loss= 2.230014, Training Accuracy= 0.15000
Iter 44000, Minibatch Loss= 2.270957, Training Accuracy= 0.19000
Iter 45000, Minibatch Loss= 2.154440, Training Accuracy= 0.28000
Iter 46000, Minibatch Loss= 2.207238, Training Accuracy= 0.22000
Iter 47000, Minibatch Loss= 2.279736, Training Accuracy= 0.18000
Iter 48000, Minibatch Loss= 2.162029, Training Accuracy= 0.20000
Iter 49000, Minibatch Loss= 2.242785, Training Accuracy= 0.15000
Iter 50000, Minibatch Loss= 2.236405, Training Accuracy= 0.22000
Iter 51000, Minibatch Loss= 2.263625, Training Accuracy= 0.20000
Iter 52000, Minibatch Loss= 2.062902, Training Accuracy= 0.22000
Iter 53000, Minibatch Loss= 2.224769, Training Accuracy= 0.26000
Iter 54000, Minibatch Loss= 2.183909, Training Accuracy= 0.30000
Iter 55000, Minibatch Loss= 2.094265, Training Accuracy= 0.31000
Iter 56000, Minibatch Loss= 2.126593, Training Accuracy= 0.23000
Iter 57000, Minibatch Loss= 2.161804, Training Accuracy= 0.26000
Iter 58000, Minibatch Loss= 2.166524, Training Accuracy= 0.28000
Iter 59000, Minibatch Loss= 2.110658, Training Accuracy= 0.32000
Iter 60000, Minibatch Loss= 1.999935, Training Accuracy= 0.30000
Iter 61000, Minibatch Loss= 2.107480, Training Accuracy= 0.32000
Iter 62000, Minibatch Loss= 2.109576, Training Accuracy= 0.34000
Iter 63000, Minibatch Loss= 2.068921, Training Accuracy= 0.28000
Iter 64000, Minibatch Loss= 2.025861, Training Accuracy= 0.33000
Iter 65000, Minibatch Loss= 2.114903, Training Accuracy= 0.31000
Iter 66000, Minibatch Loss= 2.006901, Training Accuracy= 0.32000
Iter 67000, Minibatch Loss= 2.083038, Training Accuracy= 0.28000
Iter 68000, Minibatch Loss= 2.043345, Training Accuracy= 0.32000
Iter 69000, Minibatch Loss= 1.945532, Training Accuracy= 0.36000
Iter 70000, Minibatch Loss= 1.978904, Training Accuracy= 0.33000
Iter 71000, Minibatch Loss= 1.988180, Training Accuracy= 0.29000
Iter 72000, Minibatch Loss= 2.012148, Training Accuracy= 0.37000
Iter 73000, Minibatch Loss= 1.980118, Training Accuracy= 0.35000
Iter 74000, Minibatch Loss= 1.930247, Training Accuracy= 0.34000
Iter 75000, Minibatch Loss= 1.977201, Training Accuracy= 0.28000
Iter 76000, Minibatch Loss= 1.948444, Training Accuracy= 0.31000
Iter 77000, Minibatch Loss= 1.924576, Training Accuracy= 0.35000
Iter 78000, Minibatch Loss= 1.894454, Training Accuracy= 0.35000
Iter 79000, Minibatch Loss= 1.763957, Training Accuracy= 0.45000
Iter 80000, Minibatch Loss= 1.857655, Training Accuracy= 0.31000
Iter 81000, Minibatch Loss= 1.808468, Training Accuracy= 0.37000
Iter 82000, Minibatch Loss= 1.974854, Training Accuracy= 0.28000
Iter 83000, Minibatch Loss= 1.808259, Training Accuracy= 0.37000
Iter 84000, Minibatch Loss= 1.972019, Training Accuracy= 0.25000
Iter 85000, Minibatch Loss= 1.774618, Training Accuracy= 0.35000
Iter 86000, Minibatch Loss= 1.813796, Training Accuracy= 0.38000
Iter 87000, Minibatch Loss= 1.845249, Training Accuracy= 0.39000
Iter 88000, Minibatch Loss= 1.864524, Training Accuracy= 0.32000
Iter 89000, Minibatch Loss= 1.864249, Training Accuracy= 0.31000
Iter 90000, Minibatch Loss= 1.777987, Training Accuracy= 0.36000
Iter 91000, Minibatch Loss= 1.828509, Training Accuracy= 0.37000
Iter 92000, Minibatch Loss= 1.835888, Training Accuracy= 0.37000
Iter 93000, Minibatch Loss= 1.727407, Training Accuracy= 0.42000
Iter 94000, Minibatch Loss= 1.766070, Training Accuracy= 0.36000
Iter 95000, Minibatch Loss= 1.728392, Training Accuracy= 0.43000
Iter 96000, Minibatch Loss= 1.816656, Training Accuracy= 0.37000
Iter 97000, Minibatch Loss= 1.884322, Training Accuracy= 0.29000
Iter 98000, Minibatch Loss= 1.733813, Training Accuracy= 0.40000
Iter 99000, Minibatch Loss= 1.867851, Training Accuracy= 0.31000
Optimization Finished!
Testing Accuracy: 0.3873
============================================================================
============================================================================
============================================================================
Number of hidden layers:  16
Learning Rate:  0.0001
Time from start:  12.720581284999998
