Extracting ./train-images-idx3-ubyte.gz
Extracting ./train-labels-idx1-ubyte.gz
Extracting ./t10k-images-idx3-ubyte.gz
Extracting ./t10k-labels-idx1-ubyte.gz
Iter 1000, Minibatch Loss= 1.677649, Training Accuracy= 0.46000
Iter 2000, Minibatch Loss= 1.095817, Training Accuracy= 0.61000
Iter 3000, Minibatch Loss= 0.768464, Training Accuracy= 0.73000
Iter 4000, Minibatch Loss= 0.865266, Training Accuracy= 0.68000
Iter 5000, Minibatch Loss= 0.480735, Training Accuracy= 0.88000
Iter 6000, Minibatch Loss= 0.586861, Training Accuracy= 0.77000
Iter 7000, Minibatch Loss= 0.434467, Training Accuracy= 0.81000
Iter 8000, Minibatch Loss= 0.344520, Training Accuracy= 0.91000
Iter 9000, Minibatch Loss= 0.296929, Training Accuracy= 0.88000
Iter 10000, Minibatch Loss= 0.421349, Training Accuracy= 0.90000
Iter 11000, Minibatch Loss= 0.301913, Training Accuracy= 0.94000
Iter 12000, Minibatch Loss= 0.286487, Training Accuracy= 0.88000
Iter 13000, Minibatch Loss= 0.247351, Training Accuracy= 0.92000
Iter 14000, Minibatch Loss= 0.147876, Training Accuracy= 0.96000
Iter 15000, Minibatch Loss= 0.283976, Training Accuracy= 0.92000
Iter 16000, Minibatch Loss= 0.181340, Training Accuracy= 0.95000
Iter 17000, Minibatch Loss= 0.186192, Training Accuracy= 0.93000
Iter 18000, Minibatch Loss= 0.240748, Training Accuracy= 0.95000
Iter 19000, Minibatch Loss= 0.196000, Training Accuracy= 0.91000
Iter 20000, Minibatch Loss= 0.159284, Training Accuracy= 0.97000
Iter 21000, Minibatch Loss= 0.215487, Training Accuracy= 0.93000
Iter 22000, Minibatch Loss= 0.141792, Training Accuracy= 0.96000
Iter 23000, Minibatch Loss= 0.184895, Training Accuracy= 0.94000
Iter 24000, Minibatch Loss= 0.109679, Training Accuracy= 0.95000
Iter 25000, Minibatch Loss= 0.109602, Training Accuracy= 0.96000
Iter 26000, Minibatch Loss= 0.193031, Training Accuracy= 0.94000
Iter 27000, Minibatch Loss= 0.133423, Training Accuracy= 0.97000
Iter 28000, Minibatch Loss= 0.116211, Training Accuracy= 0.96000
Iter 29000, Minibatch Loss= 0.063691, Training Accuracy= 0.98000
Iter 30000, Minibatch Loss= 0.054503, Training Accuracy= 1.00000
Iter 31000, Minibatch Loss= 0.088163, Training Accuracy= 0.98000
Iter 32000, Minibatch Loss= 0.100324, Training Accuracy= 0.96000
Iter 33000, Minibatch Loss= 0.074211, Training Accuracy= 0.98000
Iter 34000, Minibatch Loss= 0.114667, Training Accuracy= 0.97000
Iter 35000, Minibatch Loss= 0.111490, Training Accuracy= 0.97000
Iter 36000, Minibatch Loss= 0.102562, Training Accuracy= 0.97000
Iter 37000, Minibatch Loss= 0.044187, Training Accuracy= 0.99000
Iter 38000, Minibatch Loss= 0.102789, Training Accuracy= 0.95000
Iter 39000, Minibatch Loss= 0.161012, Training Accuracy= 0.94000
Iter 40000, Minibatch Loss= 0.159983, Training Accuracy= 0.96000
Iter 41000, Minibatch Loss= 0.103476, Training Accuracy= 0.98000
Iter 42000, Minibatch Loss= 0.141480, Training Accuracy= 0.96000
Iter 43000, Minibatch Loss= 0.045345, Training Accuracy= 1.00000
Iter 44000, Minibatch Loss= 0.055657, Training Accuracy= 0.98000
Iter 45000, Minibatch Loss= 0.131466, Training Accuracy= 0.96000
Iter 46000, Minibatch Loss= 0.066497, Training Accuracy= 0.97000
Iter 47000, Minibatch Loss= 0.130226, Training Accuracy= 0.96000
Iter 48000, Minibatch Loss= 0.024576, Training Accuracy= 1.00000
Iter 49000, Minibatch Loss= 0.112843, Training Accuracy= 0.96000
Iter 50000, Minibatch Loss= 0.119160, Training Accuracy= 0.96000
Iter 51000, Minibatch Loss= 0.051198, Training Accuracy= 0.99000
Iter 52000, Minibatch Loss= 0.070721, Training Accuracy= 0.98000
Iter 53000, Minibatch Loss= 0.144736, Training Accuracy= 0.96000
Iter 54000, Minibatch Loss= 0.185903, Training Accuracy= 0.96000
Iter 55000, Minibatch Loss= 0.126665, Training Accuracy= 0.97000
Iter 56000, Minibatch Loss= 0.082069, Training Accuracy= 0.98000
Iter 57000, Minibatch Loss= 0.028520, Training Accuracy= 1.00000
Iter 58000, Minibatch Loss= 0.045188, Training Accuracy= 0.98000
Iter 59000, Minibatch Loss= 0.134423, Training Accuracy= 0.96000
Iter 60000, Minibatch Loss= 0.034124, Training Accuracy= 0.99000
Iter 61000, Minibatch Loss= 0.153224, Training Accuracy= 0.92000
Iter 62000, Minibatch Loss= 0.047337, Training Accuracy= 0.99000
Iter 63000, Minibatch Loss= 0.011423, Training Accuracy= 1.00000
Iter 64000, Minibatch Loss= 0.049061, Training Accuracy= 0.99000
Iter 65000, Minibatch Loss= 0.056875, Training Accuracy= 0.97000
Iter 66000, Minibatch Loss= 0.088733, Training Accuracy= 0.96000
Iter 67000, Minibatch Loss= 0.060992, Training Accuracy= 0.97000
Iter 68000, Minibatch Loss= 0.030534, Training Accuracy= 0.99000
Iter 69000, Minibatch Loss= 0.030725, Training Accuracy= 0.99000
Iter 70000, Minibatch Loss= 0.054173, Training Accuracy= 0.98000
Iter 71000, Minibatch Loss= 0.056173, Training Accuracy= 0.98000
Iter 72000, Minibatch Loss= 0.023874, Training Accuracy= 1.00000
Iter 73000, Minibatch Loss= 0.084636, Training Accuracy= 0.98000
Iter 74000, Minibatch Loss= 0.021903, Training Accuracy= 1.00000
Iter 75000, Minibatch Loss= 0.154751, Training Accuracy= 0.96000
Iter 76000, Minibatch Loss= 0.130437, Training Accuracy= 0.96000
Iter 77000, Minibatch Loss= 0.124913, Training Accuracy= 0.98000
Iter 78000, Minibatch Loss= 0.070388, Training Accuracy= 0.98000
Iter 79000, Minibatch Loss= 0.056491, Training Accuracy= 0.98000
Iter 80000, Minibatch Loss= 0.132519, Training Accuracy= 0.97000
Iter 81000, Minibatch Loss= 0.063164, Training Accuracy= 0.98000
Iter 82000, Minibatch Loss= 0.062977, Training Accuracy= 0.98000
Iter 83000, Minibatch Loss= 0.088621, Training Accuracy= 0.98000
Iter 84000, Minibatch Loss= 0.096602, Training Accuracy= 0.98000
Iter 85000, Minibatch Loss= 0.081800, Training Accuracy= 0.99000
Iter 86000, Minibatch Loss= 0.008714, Training Accuracy= 1.00000
Iter 87000, Minibatch Loss= 0.015361, Training Accuracy= 1.00000
Iter 88000, Minibatch Loss= 0.080046, Training Accuracy= 0.97000
Iter 89000, Minibatch Loss= 0.111237, Training Accuracy= 0.97000
Iter 90000, Minibatch Loss= 0.041917, Training Accuracy= 0.99000
Iter 91000, Minibatch Loss= 0.033794, Training Accuracy= 0.99000
Iter 92000, Minibatch Loss= 0.022135, Training Accuracy= 1.00000
Iter 93000, Minibatch Loss= 0.041685, Training Accuracy= 0.98000
Iter 94000, Minibatch Loss= 0.087412, Training Accuracy= 0.98000
Iter 95000, Minibatch Loss= 0.015567, Training Accuracy= 1.00000
