Extracting ./train-images-idx3-ubyte.gz
Extracting ./train-labels-idx1-ubyte.gz
Extracting ./t10k-images-idx3-ubyte.gz
Extracting ./t10k-labels-idx1-ubyte.gz
Iter 1000, Minibatch Loss= 2.163015, Training Accuracy= 0.20000
Iter 2000, Minibatch Loss= 1.682299, Training Accuracy= 0.39000
Iter 3000, Minibatch Loss= 1.669465, Training Accuracy= 0.45000
Iter 4000, Minibatch Loss= 1.411126, Training Accuracy= 0.53000
Iter 5000, Minibatch Loss= 1.178843, Training Accuracy= 0.58000
Iter 6000, Minibatch Loss= 0.964194, Training Accuracy= 0.68000
Iter 7000, Minibatch Loss= 0.951452, Training Accuracy= 0.67000
Iter 8000, Minibatch Loss= 0.841678, Training Accuracy= 0.71000
Iter 9000, Minibatch Loss= 0.890655, Training Accuracy= 0.69000
Iter 10000, Minibatch Loss= 0.799511, Training Accuracy= 0.72000
Iter 11000, Minibatch Loss= 0.707338, Training Accuracy= 0.71000
Iter 12000, Minibatch Loss= 0.574057, Training Accuracy= 0.81000
Iter 13000, Minibatch Loss= 0.608180, Training Accuracy= 0.78000
Iter 14000, Minibatch Loss= 0.495366, Training Accuracy= 0.85000
Iter 15000, Minibatch Loss= 0.497697, Training Accuracy= 0.86000
Iter 16000, Minibatch Loss= 0.403283, Training Accuracy= 0.87000
Iter 17000, Minibatch Loss= 0.476930, Training Accuracy= 0.85000
Iter 18000, Minibatch Loss= 0.389277, Training Accuracy= 0.86000
Iter 19000, Minibatch Loss= 0.619453, Training Accuracy= 0.79000
Iter 20000, Minibatch Loss= 0.361457, Training Accuracy= 0.87000
Iter 21000, Minibatch Loss= 0.423995, Training Accuracy= 0.86000
Iter 22000, Minibatch Loss= 0.347998, Training Accuracy= 0.90000
Iter 23000, Minibatch Loss= 0.247422, Training Accuracy= 0.90000
Iter 24000, Minibatch Loss= 0.516007, Training Accuracy= 0.87000
Iter 25000, Minibatch Loss= 0.300923, Training Accuracy= 0.90000
Iter 26000, Minibatch Loss= 0.508293, Training Accuracy= 0.87000
Iter 27000, Minibatch Loss= 0.332240, Training Accuracy= 0.93000
Iter 28000, Minibatch Loss= 0.356870, Training Accuracy= 0.87000
Iter 29000, Minibatch Loss= 0.241540, Training Accuracy= 0.94000
Iter 30000, Minibatch Loss= 0.287549, Training Accuracy= 0.92000
Iter 31000, Minibatch Loss= 0.427918, Training Accuracy= 0.92000
Iter 32000, Minibatch Loss= 0.273512, Training Accuracy= 0.93000
Iter 33000, Minibatch Loss= 0.442001, Training Accuracy= 0.88000
Iter 34000, Minibatch Loss= 0.452493, Training Accuracy= 0.88000
Iter 35000, Minibatch Loss= 0.216536, Training Accuracy= 0.93000
Iter 36000, Minibatch Loss= 0.242339, Training Accuracy= 0.91000
Iter 37000, Minibatch Loss= 0.350764, Training Accuracy= 0.89000
Iter 38000, Minibatch Loss= 0.471608, Training Accuracy= 0.89000
Iter 39000, Minibatch Loss= 0.178764, Training Accuracy= 0.95000
Iter 40000, Minibatch Loss= 0.235155, Training Accuracy= 0.92000
Iter 41000, Minibatch Loss= 0.366807, Training Accuracy= 0.89000
Iter 42000, Minibatch Loss= 0.121746, Training Accuracy= 0.96000
Iter 43000, Minibatch Loss= 0.356958, Training Accuracy= 0.89000
Iter 44000, Minibatch Loss= 0.178626, Training Accuracy= 0.93000
Iter 45000, Minibatch Loss= 0.213111, Training Accuracy= 0.96000
Iter 46000, Minibatch Loss= 0.272463, Training Accuracy= 0.91000
Iter 47000, Minibatch Loss= 0.154759, Training Accuracy= 0.94000
Iter 48000, Minibatch Loss= 0.307841, Training Accuracy= 0.91000
Iter 49000, Minibatch Loss= 0.167499, Training Accuracy= 0.94000
Iter 50000, Minibatch Loss= 0.251242, Training Accuracy= 0.91000
Iter 51000, Minibatch Loss= 0.141611, Training Accuracy= 0.96000
Iter 52000, Minibatch Loss= 0.258811, Training Accuracy= 0.90000
Iter 53000, Minibatch Loss= 0.074516, Training Accuracy= 0.98000
Iter 54000, Minibatch Loss= 0.251494, Training Accuracy= 0.94000
Iter 55000, Minibatch Loss= 0.205890, Training Accuracy= 0.94000
Iter 56000, Minibatch Loss= 0.084883, Training Accuracy= 0.98000
Iter 57000, Minibatch Loss= 0.057675, Training Accuracy= 0.99000
Iter 58000, Minibatch Loss= 0.176213, Training Accuracy= 0.94000
Iter 59000, Minibatch Loss= 0.184510, Training Accuracy= 0.92000
Iter 60000, Minibatch Loss= 0.082249, Training Accuracy= 0.99000
Iter 61000, Minibatch Loss= 0.179045, Training Accuracy= 0.93000
Iter 62000, Minibatch Loss= 0.142611, Training Accuracy= 0.96000
Iter 63000, Minibatch Loss= 0.249112, Training Accuracy= 0.93000
Iter 64000, Minibatch Loss= 0.322550, Training Accuracy= 0.92000
Iter 65000, Minibatch Loss= 0.200789, Training Accuracy= 0.91000
Iter 66000, Minibatch Loss= 0.231293, Training Accuracy= 0.95000
Iter 67000, Minibatch Loss= 0.201752, Training Accuracy= 0.93000
Iter 68000, Minibatch Loss= 0.186908, Training Accuracy= 0.96000
Iter 69000, Minibatch Loss= 0.210603, Training Accuracy= 0.96000
Iter 70000, Minibatch Loss= 0.128779, Training Accuracy= 0.98000
Iter 71000, Minibatch Loss= 0.175797, Training Accuracy= 0.95000
Iter 72000, Minibatch Loss= 0.133380, Training Accuracy= 0.98000
Iter 73000, Minibatch Loss= 0.134621, Training Accuracy= 0.97000
Iter 74000, Minibatch Loss= 0.182877, Training Accuracy= 0.95000
Iter 75000, Minibatch Loss= 0.178287, Training Accuracy= 0.94000
Iter 76000, Minibatch Loss= 0.156441, Training Accuracy= 0.97000
Iter 77000, Minibatch Loss= 0.169846, Training Accuracy= 0.95000
Iter 78000, Minibatch Loss= 0.248374, Training Accuracy= 0.93000
Iter 79000, Minibatch Loss= 0.131034, Training Accuracy= 0.96000
Iter 80000, Minibatch Loss= 0.222583, Training Accuracy= 0.93000
Iter 81000, Minibatch Loss= 0.099732, Training Accuracy= 0.98000
Iter 82000, Minibatch Loss= 0.322708, Training Accuracy= 0.90000
Iter 83000, Minibatch Loss= 0.191368, Training Accuracy= 0.94000
Iter 84000, Minibatch Loss= 0.189711, Training Accuracy= 0.93000
Iter 85000, Minibatch Loss= 0.184773, Training Accuracy= 0.93000
Iter 86000, Minibatch Loss= 0.312546, Training Accuracy= 0.89000
Iter 87000, Minibatch Loss= 0.102149, Training Accuracy= 0.97000
Iter 88000, Minibatch Loss= 0.134418, Training Accuracy= 0.97000
Iter 89000, Minibatch Loss= 0.126548, Training Accuracy= 0.96000
Iter 90000, Minibatch Loss= 0.084336, Training Accuracy= 0.99000
Iter 91000, Minibatch Loss= 0.069017, Training Accuracy= 0.98000
Iter 92000, Minibatch Loss= 0.092862, Training Accuracy= 0.97000
Iter 93000, Minibatch Loss= 0.082583, Training Accuracy= 0.97000
Iter 94000, Minibatch Loss= 0.062581, Training Accuracy= 0.99000
Iter 95000, Minibatch Loss= 0.126385, Training Accuracy= 0.97000
Iter 96000, Minibatch Loss= 0.107115, Training Accuracy= 0.97000
Iter 97000, Minibatch Loss= 0.099579, Training Accuracy= 0.97000
Iter 98000, Minibatch Loss= 0.175112, Training Accuracy= 0.94000
Iter 99000, Minibatch Loss= 0.112342, Training Accuracy= 0.97000
Optimization Finished!
Testing Accuracy: 0.9487
============================================================================
============================================================================
============================================================================
Number of hidden layers:  16
Learning Rate:  0.01
Time from start:  12.660931412
