Extracting ./train-images-idx3-ubyte.gz
Extracting ./train-labels-idx1-ubyte.gz
Extracting ./t10k-images-idx3-ubyte.gz
Extracting ./t10k-labels-idx1-ubyte.gz
Iter 1000, Minibatch Loss= 2.459121, Training Accuracy= 0.09000
Iter 2000, Minibatch Loss= 2.456343, Training Accuracy= 0.10000
Iter 3000, Minibatch Loss= 2.550246, Training Accuracy= 0.12000
Iter 4000, Minibatch Loss= 2.532719, Training Accuracy= 0.09000
Iter 5000, Minibatch Loss= 2.556428, Training Accuracy= 0.07000
Iter 6000, Minibatch Loss= 2.537727, Training Accuracy= 0.08000
Iter 7000, Minibatch Loss= 2.465777, Training Accuracy= 0.07000
Iter 8000, Minibatch Loss= 2.522853, Training Accuracy= 0.09000
Iter 9000, Minibatch Loss= 2.376636, Training Accuracy= 0.14000
Iter 10000, Minibatch Loss= 2.444358, Training Accuracy= 0.14000
Iter 11000, Minibatch Loss= 2.525939, Training Accuracy= 0.11000
Iter 12000, Minibatch Loss= 2.491086, Training Accuracy= 0.07000
Iter 13000, Minibatch Loss= 2.414235, Training Accuracy= 0.13000
Iter 14000, Minibatch Loss= 2.525887, Training Accuracy= 0.11000
Iter 15000, Minibatch Loss= 2.475885, Training Accuracy= 0.09000
Iter 16000, Minibatch Loss= 2.461163, Training Accuracy= 0.07000
Iter 17000, Minibatch Loss= 2.378247, Training Accuracy= 0.17000
Iter 18000, Minibatch Loss= 2.533414, Training Accuracy= 0.07000
Iter 19000, Minibatch Loss= 2.489260, Training Accuracy= 0.10000
Iter 20000, Minibatch Loss= 2.427011, Training Accuracy= 0.11000
Iter 21000, Minibatch Loss= 2.471031, Training Accuracy= 0.08000
Iter 22000, Minibatch Loss= 2.445784, Training Accuracy= 0.15000
Iter 23000, Minibatch Loss= 2.485114, Training Accuracy= 0.12000
Iter 24000, Minibatch Loss= 2.390615, Training Accuracy= 0.12000
Iter 25000, Minibatch Loss= 2.432341, Training Accuracy= 0.16000
Iter 26000, Minibatch Loss= 2.471380, Training Accuracy= 0.08000
Iter 27000, Minibatch Loss= 2.510748, Training Accuracy= 0.08000
Iter 28000, Minibatch Loss= 2.501195, Training Accuracy= 0.09000
Iter 29000, Minibatch Loss= 2.460287, Training Accuracy= 0.10000
Iter 30000, Minibatch Loss= 2.431181, Training Accuracy= 0.08000
Iter 31000, Minibatch Loss= 2.494991, Training Accuracy= 0.10000
Iter 32000, Minibatch Loss= 2.442462, Training Accuracy= 0.14000
Iter 33000, Minibatch Loss= 2.468753, Training Accuracy= 0.09000
Iter 34000, Minibatch Loss= 2.365216, Training Accuracy= 0.13000
Iter 35000, Minibatch Loss= 2.502781, Training Accuracy= 0.10000
Iter 36000, Minibatch Loss= 2.452166, Training Accuracy= 0.11000
Iter 37000, Minibatch Loss= 2.347504, Training Accuracy= 0.10000
Iter 38000, Minibatch Loss= 2.401704, Training Accuracy= 0.15000
Iter 39000, Minibatch Loss= 2.405681, Training Accuracy= 0.16000
Iter 40000, Minibatch Loss= 2.473204, Training Accuracy= 0.09000
Iter 41000, Minibatch Loss= 2.433231, Training Accuracy= 0.11000
Iter 42000, Minibatch Loss= 2.459797, Training Accuracy= 0.07000
Iter 43000, Minibatch Loss= 2.357178, Training Accuracy= 0.13000
Iter 44000, Minibatch Loss= 2.415501, Training Accuracy= 0.08000
Iter 45000, Minibatch Loss= 2.371473, Training Accuracy= 0.10000
Iter 46000, Minibatch Loss= 2.477881, Training Accuracy= 0.09000
Iter 47000, Minibatch Loss= 2.451103, Training Accuracy= 0.09000
Iter 48000, Minibatch Loss= 2.286009, Training Accuracy= 0.16000
Iter 49000, Minibatch Loss= 2.451429, Training Accuracy= 0.13000
Iter 50000, Minibatch Loss= 2.447956, Training Accuracy= 0.11000
Iter 51000, Minibatch Loss= 2.394912, Training Accuracy= 0.09000
Iter 52000, Minibatch Loss= 2.392298, Training Accuracy= 0.15000
Iter 53000, Minibatch Loss= 2.492577, Training Accuracy= 0.08000
Iter 54000, Minibatch Loss= 2.476690, Training Accuracy= 0.11000
Iter 55000, Minibatch Loss= 2.394672, Training Accuracy= 0.12000
Iter 56000, Minibatch Loss= 2.524063, Training Accuracy= 0.08000
Iter 57000, Minibatch Loss= 2.326890, Training Accuracy= 0.14000
Iter 58000, Minibatch Loss= 2.421557, Training Accuracy= 0.12000
Iter 59000, Minibatch Loss= 2.459880, Training Accuracy= 0.07000
Iter 60000, Minibatch Loss= 2.445598, Training Accuracy= 0.12000
Iter 61000, Minibatch Loss= 2.383434, Training Accuracy= 0.13000
Iter 62000, Minibatch Loss= 2.317347, Training Accuracy= 0.19000
Iter 63000, Minibatch Loss= 2.373757, Training Accuracy= 0.14000
Iter 64000, Minibatch Loss= 2.356156, Training Accuracy= 0.12000
Iter 65000, Minibatch Loss= 2.433139, Training Accuracy= 0.09000
Iter 66000, Minibatch Loss= 2.394528, Training Accuracy= 0.13000
Iter 67000, Minibatch Loss= 2.399760, Training Accuracy= 0.10000
Iter 68000, Minibatch Loss= 2.494958, Training Accuracy= 0.08000
Iter 69000, Minibatch Loss= 2.463871, Training Accuracy= 0.08000
Iter 70000, Minibatch Loss= 2.494932, Training Accuracy= 0.06000
Iter 71000, Minibatch Loss= 2.460571, Training Accuracy= 0.07000
Iter 72000, Minibatch Loss= 2.468626, Training Accuracy= 0.09000
Iter 73000, Minibatch Loss= 2.377481, Training Accuracy= 0.12000
Iter 74000, Minibatch Loss= 2.428178, Training Accuracy= 0.08000
Iter 75000, Minibatch Loss= 2.364984, Training Accuracy= 0.08000
Iter 76000, Minibatch Loss= 2.337625, Training Accuracy= 0.13000
Iter 77000, Minibatch Loss= 2.432512, Training Accuracy= 0.09000
Iter 78000, Minibatch Loss= 2.421335, Training Accuracy= 0.09000
Iter 79000, Minibatch Loss= 2.388938, Training Accuracy= 0.09000
Iter 80000, Minibatch Loss= 2.358854, Training Accuracy= 0.14000
Iter 81000, Minibatch Loss= 2.346287, Training Accuracy= 0.09000
Iter 82000, Minibatch Loss= 2.413510, Training Accuracy= 0.11000
Iter 83000, Minibatch Loss= 2.378469, Training Accuracy= 0.07000
Iter 84000, Minibatch Loss= 2.446135, Training Accuracy= 0.08000
Iter 85000, Minibatch Loss= 2.410052, Training Accuracy= 0.15000
Iter 86000, Minibatch Loss= 2.353616, Training Accuracy= 0.15000
Iter 87000, Minibatch Loss= 2.286008, Training Accuracy= 0.13000
Iter 88000, Minibatch Loss= 2.417313, Training Accuracy= 0.08000
Iter 89000, Minibatch Loss= 2.354561, Training Accuracy= 0.11000
Iter 90000, Minibatch Loss= 2.382859, Training Accuracy= 0.10000
Iter 91000, Minibatch Loss= 2.411343, Training Accuracy= 0.09000
Iter 92000, Minibatch Loss= 2.339463, Training Accuracy= 0.13000
Iter 93000, Minibatch Loss= 2.438139, Training Accuracy= 0.08000
Iter 94000, Minibatch Loss= 2.329036, Training Accuracy= 0.12000
Iter 95000, Minibatch Loss= 2.378098, Training Accuracy= 0.11000
Iter 96000, Minibatch Loss= 2.441926, Training Accuracy= 0.07000
Iter 97000, Minibatch Loss= 2.392781, Training Accuracy= 0.12000
Iter 98000, Minibatch Loss= 2.339752, Training Accuracy= 0.13000
Iter 99000, Minibatch Loss= 2.395220, Training Accuracy= 0.11000
Optimization Finished!
Testing Accuracy: 0.1083
============================================================================
============================================================================
============================================================================
Number of hidden layers:  16
Learning Rate:  1e-05
Time from start:  12.695154408
