Extracting ./train-images-idx3-ubyte.gz
Extracting ./train-labels-idx1-ubyte.gz
Extracting ./t10k-images-idx3-ubyte.gz
Extracting ./t10k-labels-idx1-ubyte.gz
Iter 1000, Minibatch Loss= 10.728983, Training Accuracy= 0.13000
Iter 2000, Minibatch Loss= 4.496356, Training Accuracy= 0.20000
Iter 3000, Minibatch Loss= 3.956031, Training Accuracy= 0.12000
Iter 4000, Minibatch Loss= 2.834722, Training Accuracy= 0.11000
Iter 5000, Minibatch Loss= 2.727806, Training Accuracy= 0.14000
Iter 6000, Minibatch Loss= 2.389238, Training Accuracy= 0.11000
Iter 7000, Minibatch Loss= 2.524402, Training Accuracy= 0.14000
Iter 8000, Minibatch Loss= 2.657403, Training Accuracy= 0.08000
Iter 9000, Minibatch Loss= 2.418383, Training Accuracy= 0.11000
Iter 10000, Minibatch Loss= 2.392934, Training Accuracy= 0.16000
Iter 11000, Minibatch Loss= 2.521793, Training Accuracy= 0.15000
Iter 12000, Minibatch Loss= 2.398039, Training Accuracy= 0.17000
Iter 13000, Minibatch Loss= 2.490322, Training Accuracy= 0.09000
Iter 14000, Minibatch Loss= 2.691262, Training Accuracy= 0.11000
Iter 15000, Minibatch Loss= 2.427930, Training Accuracy= 0.12000
Iter 16000, Minibatch Loss= 2.483131, Training Accuracy= 0.11000
Iter 17000, Minibatch Loss= 2.482141, Training Accuracy= 0.13000
Iter 18000, Minibatch Loss= 2.449406, Training Accuracy= 0.16000
Iter 19000, Minibatch Loss= 2.521880, Training Accuracy= 0.11000
Iter 20000, Minibatch Loss= 2.302512, Training Accuracy= 0.18000
Iter 21000, Minibatch Loss= 2.535539, Training Accuracy= 0.09000
Iter 22000, Minibatch Loss= 2.546622, Training Accuracy= 0.11000
Iter 23000, Minibatch Loss= 2.735184, Training Accuracy= 0.10000
Iter 24000, Minibatch Loss= 2.570616, Training Accuracy= 0.14000
Iter 25000, Minibatch Loss= 2.705599, Training Accuracy= 0.14000
Iter 26000, Minibatch Loss= 2.618076, Training Accuracy= 0.11000
Iter 27000, Minibatch Loss= 2.399187, Training Accuracy= 0.15000
Iter 28000, Minibatch Loss= 2.603601, Training Accuracy= 0.18000
Iter 29000, Minibatch Loss= 2.463450, Training Accuracy= 0.13000
Iter 30000, Minibatch Loss= 2.452282, Training Accuracy= 0.13000
Iter 31000, Minibatch Loss= 2.731833, Training Accuracy= 0.08000
Iter 32000, Minibatch Loss= 2.465885, Training Accuracy= 0.09000
Iter 33000, Minibatch Loss= 2.513856, Training Accuracy= 0.16000
Iter 34000, Minibatch Loss= 2.841704, Training Accuracy= 0.09000
Iter 35000, Minibatch Loss= 2.998332, Training Accuracy= 0.10000
Iter 36000, Minibatch Loss= 3.003505, Training Accuracy= 0.09000
Iter 37000, Minibatch Loss= 2.664119, Training Accuracy= 0.13000
Iter 38000, Minibatch Loss= 2.518126, Training Accuracy= 0.15000
Iter 39000, Minibatch Loss= 2.586894, Training Accuracy= 0.09000
Iter 40000, Minibatch Loss= 2.838212, Training Accuracy= 0.12000
Iter 41000, Minibatch Loss= 2.789113, Training Accuracy= 0.08000
Iter 42000, Minibatch Loss= 2.517476, Training Accuracy= 0.07000
Iter 43000, Minibatch Loss= 2.487611, Training Accuracy= 0.11000
Iter 44000, Minibatch Loss= 2.664380, Training Accuracy= 0.07000
Iter 45000, Minibatch Loss= 2.630814, Training Accuracy= 0.16000
Iter 46000, Minibatch Loss= 3.327888, Training Accuracy= 0.07000
Iter 47000, Minibatch Loss= 2.963915, Training Accuracy= 0.14000
Iter 48000, Minibatch Loss= 2.826745, Training Accuracy= 0.15000
Iter 49000, Minibatch Loss= 3.277644, Training Accuracy= 0.05000
Iter 50000, Minibatch Loss= 3.161748, Training Accuracy= 0.13000
Iter 51000, Minibatch Loss= 3.263419, Training Accuracy= 0.15000
Iter 52000, Minibatch Loss= 2.832950, Training Accuracy= 0.10000
Iter 53000, Minibatch Loss= 2.638757, Training Accuracy= 0.12000
Iter 54000, Minibatch Loss= 2.896289, Training Accuracy= 0.14000
Iter 55000, Minibatch Loss= 2.491623, Training Accuracy= 0.13000
Iter 56000, Minibatch Loss= 2.402179, Training Accuracy= 0.07000
Iter 57000, Minibatch Loss= 2.431746, Training Accuracy= 0.13000
Iter 58000, Minibatch Loss= 2.358715, Training Accuracy= 0.14000
Iter 59000, Minibatch Loss= 2.532529, Training Accuracy= 0.13000
Iter 60000, Minibatch Loss= 3.077286, Training Accuracy= 0.12000
Iter 61000, Minibatch Loss= 2.894809, Training Accuracy= 0.12000
Iter 62000, Minibatch Loss= 3.127290, Training Accuracy= 0.10000
Iter 63000, Minibatch Loss= 2.733151, Training Accuracy= 0.07000
Iter 64000, Minibatch Loss= 2.555628, Training Accuracy= 0.21000
Iter 65000, Minibatch Loss= 2.519603, Training Accuracy= 0.11000
Iter 66000, Minibatch Loss= 2.418502, Training Accuracy= 0.11000
Iter 67000, Minibatch Loss= 2.753144, Training Accuracy= 0.11000
Iter 68000, Minibatch Loss= 2.612807, Training Accuracy= 0.10000
Iter 69000, Minibatch Loss= 2.600392, Training Accuracy= 0.10000
Iter 70000, Minibatch Loss= 2.452761, Training Accuracy= 0.16000
Iter 71000, Minibatch Loss= 2.503366, Training Accuracy= 0.12000
Iter 72000, Minibatch Loss= 2.589100, Training Accuracy= 0.10000
Iter 73000, Minibatch Loss= 2.309907, Training Accuracy= 0.11000
Iter 74000, Minibatch Loss= 2.590634, Training Accuracy= 0.13000
Iter 75000, Minibatch Loss= 2.617885, Training Accuracy= 0.12000
Iter 76000, Minibatch Loss= 2.615513, Training Accuracy= 0.14000
Iter 77000, Minibatch Loss= 2.386646, Training Accuracy= 0.10000
Iter 78000, Minibatch Loss= 2.453666, Training Accuracy= 0.10000
Iter 79000, Minibatch Loss= 2.489643, Training Accuracy= 0.06000
Iter 80000, Minibatch Loss= 2.560581, Training Accuracy= 0.12000
Iter 81000, Minibatch Loss= 2.608024, Training Accuracy= 0.06000
Iter 82000, Minibatch Loss= 2.553277, Training Accuracy= 0.11000
Iter 83000, Minibatch Loss= 2.599221, Training Accuracy= 0.13000
Iter 84000, Minibatch Loss= 2.429106, Training Accuracy= 0.10000
Iter 85000, Minibatch Loss= 2.433256, Training Accuracy= 0.15000
Iter 86000, Minibatch Loss= 2.405024, Training Accuracy= 0.13000
Iter 87000, Minibatch Loss= 2.569034, Training Accuracy= 0.15000
Iter 88000, Minibatch Loss= 2.744113, Training Accuracy= 0.13000
Iter 89000, Minibatch Loss= 2.578043, Training Accuracy= 0.13000
Iter 90000, Minibatch Loss= 2.412737, Training Accuracy= 0.13000
Iter 91000, Minibatch Loss= 2.429788, Training Accuracy= 0.10000
Iter 92000, Minibatch Loss= 2.402388, Training Accuracy= 0.16000
Iter 93000, Minibatch Loss= 2.629705, Training Accuracy= 0.11000
Iter 94000, Minibatch Loss= 2.281284, Training Accuracy= 0.15000
Iter 95000, Minibatch Loss= 2.589951, Training Accuracy= 0.11000
Iter 96000, Minibatch Loss= 2.596134, Training Accuracy= 0.10000
Iter 97000, Minibatch Loss= 2.674457, Training Accuracy= 0.13000
Iter 98000, Minibatch Loss= 2.794542, Training Accuracy= 0.10000
Iter 99000, Minibatch Loss= 2.992515, Training Accuracy= 0.10000
Optimization Finished!
Testing Accuracy: 0.0892
============================================================================
============================================================================
============================================================================
Number of hidden layers:  32
Learning Rate:  1.0
Time from start:  12.803769193
