Extracting ./train-images-idx3-ubyte.gz
Extracting ./train-labels-idx1-ubyte.gz
Extracting ./t10k-images-idx3-ubyte.gz
Extracting ./t10k-labels-idx1-ubyte.gz
Iter 1000, Minibatch Loss= 2.441594, Training Accuracy= 0.10000
Iter 2000, Minibatch Loss= 2.143440, Training Accuracy= 0.19000
Iter 3000, Minibatch Loss= 1.985536, Training Accuracy= 0.23000
Iter 4000, Minibatch Loss= 1.951231, Training Accuracy= 0.38000
Iter 5000, Minibatch Loss= 1.579671, Training Accuracy= 0.42000
Iter 6000, Minibatch Loss= 1.317581, Training Accuracy= 0.46000
Iter 7000, Minibatch Loss= 1.333880, Training Accuracy= 0.52000
Iter 8000, Minibatch Loss= 1.199705, Training Accuracy= 0.55000
Iter 9000, Minibatch Loss= 1.362486, Training Accuracy= 0.49000
Iter 10000, Minibatch Loss= 1.388296, Training Accuracy= 0.49000
Iter 11000, Minibatch Loss= 1.172856, Training Accuracy= 0.57000
Iter 12000, Minibatch Loss= 1.321187, Training Accuracy= 0.45000
Iter 13000, Minibatch Loss= 1.137120, Training Accuracy= 0.61000
Iter 14000, Minibatch Loss= 0.950742, Training Accuracy= 0.62000
Iter 15000, Minibatch Loss= 1.129159, Training Accuracy= 0.56000
Iter 16000, Minibatch Loss= 0.947807, Training Accuracy= 0.65000
Iter 17000, Minibatch Loss= 0.850124, Training Accuracy= 0.64000
Iter 18000, Minibatch Loss= 0.803606, Training Accuracy= 0.72000
Iter 19000, Minibatch Loss= 0.795667, Training Accuracy= 0.73000
Iter 20000, Minibatch Loss= 0.821551, Training Accuracy= 0.74000
Iter 21000, Minibatch Loss= 0.883202, Training Accuracy= 0.71000
Iter 22000, Minibatch Loss= 0.785062, Training Accuracy= 0.71000
Iter 23000, Minibatch Loss= 0.694372, Training Accuracy= 0.77000
Iter 24000, Minibatch Loss= 0.709933, Training Accuracy= 0.74000
Iter 25000, Minibatch Loss= 0.574936, Training Accuracy= 0.78000
Iter 26000, Minibatch Loss= 0.530198, Training Accuracy= 0.83000
Iter 27000, Minibatch Loss= 0.497032, Training Accuracy= 0.85000
Iter 28000, Minibatch Loss= 0.626552, Training Accuracy= 0.79000
Iter 29000, Minibatch Loss= 0.648699, Training Accuracy= 0.79000
Iter 30000, Minibatch Loss= 0.450860, Training Accuracy= 0.83000
Iter 31000, Minibatch Loss= 0.455799, Training Accuracy= 0.88000
Iter 32000, Minibatch Loss= 0.524583, Training Accuracy= 0.81000
Iter 33000, Minibatch Loss= 0.566739, Training Accuracy= 0.82000
Iter 34000, Minibatch Loss= 0.635751, Training Accuracy= 0.79000
Iter 35000, Minibatch Loss= 0.553883, Training Accuracy= 0.85000
Iter 36000, Minibatch Loss= 0.520119, Training Accuracy= 0.85000
Iter 37000, Minibatch Loss= 0.426214, Training Accuracy= 0.86000
Iter 38000, Minibatch Loss= 0.450865, Training Accuracy= 0.86000
Iter 39000, Minibatch Loss= 0.598387, Training Accuracy= 0.82000
Iter 40000, Minibatch Loss= 0.524923, Training Accuracy= 0.85000
Iter 41000, Minibatch Loss= 0.450142, Training Accuracy= 0.85000
Iter 42000, Minibatch Loss= 0.454314, Training Accuracy= 0.87000
Iter 43000, Minibatch Loss= 0.424023, Training Accuracy= 0.88000
Iter 44000, Minibatch Loss= 0.329043, Training Accuracy= 0.90000
Iter 45000, Minibatch Loss= 0.492811, Training Accuracy= 0.84000
Iter 46000, Minibatch Loss= 0.522488, Training Accuracy= 0.87000
Iter 47000, Minibatch Loss= 0.510409, Training Accuracy= 0.86000
Iter 48000, Minibatch Loss= 0.407383, Training Accuracy= 0.90000
Iter 49000, Minibatch Loss= 0.613251, Training Accuracy= 0.83000
Iter 50000, Minibatch Loss= 0.221025, Training Accuracy= 0.94000
Iter 51000, Minibatch Loss= 0.404147, Training Accuracy= 0.86000
Iter 52000, Minibatch Loss= 0.543220, Training Accuracy= 0.82000
Iter 53000, Minibatch Loss= 0.451132, Training Accuracy= 0.87000
Iter 54000, Minibatch Loss= 0.302954, Training Accuracy= 0.92000
Iter 55000, Minibatch Loss= 0.481428, Training Accuracy= 0.85000
Iter 56000, Minibatch Loss= 0.223573, Training Accuracy= 0.93000
Iter 57000, Minibatch Loss= 0.401115, Training Accuracy= 0.84000
Iter 58000, Minibatch Loss= 0.357788, Training Accuracy= 0.89000
Iter 59000, Minibatch Loss= 0.381198, Training Accuracy= 0.89000
Iter 60000, Minibatch Loss= 0.440873, Training Accuracy= 0.85000
Iter 61000, Minibatch Loss= 0.288570, Training Accuracy= 0.92000
Iter 62000, Minibatch Loss= 0.386588, Training Accuracy= 0.89000
Iter 63000, Minibatch Loss= 0.377228, Training Accuracy= 0.89000
Iter 64000, Minibatch Loss= 0.506643, Training Accuracy= 0.82000
Iter 65000, Minibatch Loss= 0.488969, Training Accuracy= 0.83000
Iter 66000, Minibatch Loss= 0.351027, Training Accuracy= 0.88000
Iter 67000, Minibatch Loss= 0.234249, Training Accuracy= 0.92000
Iter 68000, Minibatch Loss= 0.325895, Training Accuracy= 0.92000
Iter 69000, Minibatch Loss= 0.429090, Training Accuracy= 0.81000
Iter 70000, Minibatch Loss= 0.344853, Training Accuracy= 0.89000
Iter 71000, Minibatch Loss= 0.383918, Training Accuracy= 0.86000
Iter 72000, Minibatch Loss= 0.545773, Training Accuracy= 0.81000
Iter 73000, Minibatch Loss= 0.294431, Training Accuracy= 0.92000
Iter 74000, Minibatch Loss= 0.337068, Training Accuracy= 0.90000
Iter 75000, Minibatch Loss= 0.221511, Training Accuracy= 0.94000
